"분류","자치구","공연/행사명","날짜/시간","장소","기관명","이용대상","이용요금","출연자정보","프로그램소개","기타내용","홈페이지?주소","대표이미지","신청일","시민/기관","시작일","종료일","테마분류","경도(X좌표)","위도(Y좌표)","유무료","문화포털상세URL"
"전시/미술","강남구","K-일러스트레이션페어 서울 2025","2025-02-06~2025-02-09","서울 삼성동 코엑스 3층 D홀","기타","누구나","사전 예매가 : ~ 2025년 1월 31일(금)까지 결제 시 8,000원ㅣ현장 구매가 : 10,000원","","","","https://k-illustrationfair.com/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=817259e2d7314e24a6cf52eb12d211ba&thumb=Y","2024-11-22","기관","2025-02-06 00:00:00.0","2025-02-09 00:00:00.0","기타","127.059159043842","37.5118239121138","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151222&menuNo=200009"
"교육/체험","강서구","[겸재정선미술관] 2025 명사석학 미술인문학 강좌","2025-01-24~2025-12-19","겸재정선미술관 3층 다목적실","강서구청","일반 성인 100명 내외","50,000원 (12회분)","","","","https://culture.gangseo.seoul.kr/gsfc/education/view.do?eduSn=96&menuNo=800042","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e67ad741e924a84bb5bd8d2c7c471c8&thumb=Y","2024-11-14","기관","2025-01-24 00:00:00.0","2025-12-19 00:00:00.0","기타","126.838412024868","37.5722229700452","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151003&menuNo=200011"
"교육/체험","강서구","[겸재정선미술관] 2025 겸재 문화학교 강좌 [풍속화의 진수성찬: 조선 문화를 엿보다]","2025-01-17~2025-12-12","겸재정선미술관 3층 다목적실","강서구청","일반 성인 80명 내외","40,000원 (12회분)","","","","https://culture.gangseo.seoul.kr/gsfc/education/view.do?eduSn=97&menuNo=800042","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dcfb78f3fbc74783a0527e25dd65c820&thumb=Y","2024-11-14","기관","2025-01-17 00:00:00.0","2025-12-12 00:00:00.0","기타","126.838412024868","37.5722229700452","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151005&menuNo=200011"
"전시/미술","노원구","[노원구청] 뉴욕의 거장들: 잭슨 폴록과 마크 로스코의 친구들","2025-01-10~2025-07-12","노원문화예술회관 4층","노원구청","누구나","성인 15,000원｜청소년 및 어린이 12,000원","","","","https://blog.naver.com/goodnowon/223673524129","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=67228f8ed5e146709620a92a28f9c7cf&thumb=Y","2024-11-28","기관","2025-01-10 00:00:00.0","2025-07-12 00:00:00.0","기타","127.080267103033","37.6502368524442","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151372&menuNo=200009"
"클래식","강남구","첼리스트 신호철이 해설해주는 [앙상블 플레이리스트 Ep.3]","2025-01-05~2025-01-05","거암아트홀","기타","누구나","전석 1만원","신호철, 이한은, 홍주연, 김도윤, 이주영, 정예진, 최단, 김연준, 김수빈 ,유승희, 차수현, 하민지, 김소진, 박진희","Dvorak,Millault,Schumann","","https://geoam.co.kr/_subpage/kor/product/list.php?viewMode=view&ca_id=&sel_search=&txt_search=&page=1&idx=190","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6517c3f0f393424aa05a214dcd59c281&thumb=Y","2024-11-27","시민","2025-01-05 00:00:00.0","2025-01-05 00:00:00.0","기타","127.019106035326","37.5195101291255","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151340&menuNo=200008"
"클래식","종로구","[세종문화회관] 앙상블 버라이어티 신년음악회 [클래식 무곡]","2025-01-01~2025-01-01","세종체임버홀","세종문화회관","2018년 이전 출생자","전석 30,000원 (학생할인 50%)","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35818&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=63bf4c69cafe4bffba09a67a042f3fd1&thumb=Y","2024-12-02","기관","2025-01-01 00:00:00.0","2025-01-01 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151441&menuNo=200008"
"축제-문화/예술","종로구","[서울시청] 2024 제야의 종 타종행사","2024-12-31~2025-01-01","보신각","서울시청","누구나","무료","","","","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?menuNo=200110&cultcode=151255","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b0decaf7653c46988c78f4d1a59896d3&thumb=Y","2024-11-24","기관","2024-12-31 00:00:00.0","2025-01-01 00:00:00.0","가족 문화행사","126.983677617361","37.5697673859634","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151255&menuNo=200010"
"축제-자연/경관","중구","서울라이트 DDP : 새해맞이 카운트다운","2024-12-31~2025-01-01","DDP 전면 *어울림광장 및 디자인거리 관람가능","동대문디자인플라자","전체 관람가","","","","","https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=658&boardno=16&bbstopno=658&act=view&subno=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=94ab38608f6c471db2e9cb0671d46da5&thumb=Y","2024-11-21","기관","2024-12-31 00:00:00.0","2025-01-01 00:00:00.0","기타","127.0096257245","37.5668131264","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151170&menuNo=200010"
"클래식","종로구","[세종문화회관] 노영심 첼로가 좋아서, 홍진호 피아노가 좋아서","2024-12-31~2024-12-31","세종S씨어터","세종문화회관","8세 이상 (2016년 이전 출생자)","전석 110,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35804&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4300af9736f243fbb852fd324143b8af&thumb=Y","2024-11-28","기관","2024-12-31 00:00:00.0","2024-12-31 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151364&menuNo=200008"
"축제-문화/예술","동대문구","[서울경제진흥원] 2024 서울콘(SEOULCON)","2024-12-28~2025-01-01","DDP 일대","서울시청","누구나","무료 ※ 프로그램별 행사시간, 장소, 입장료 등 내용 상","","","","https://seoul-con.com/ko","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2dd463320ef94e67bd48e37fdfd4e0cf&thumb=Y","2024-11-24","기관","2024-12-28 00:00:00.0","2025-01-01 00:00:00.0","기타","127.039749092173","37.574418525457","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151251&menuNo=200010"
